Player,Shots,XeFG,eFG,DEFG
Russell Westbrook,1459,48.04,45.68,-2.36
James Harden,1444,50.14,51.25,1.1
LaMarcus Aldridge,1406,45.66,47.76,2.1
Damian Lillard,1355,50.97,50.77,-0.2
Monta Ellis,1353,48.49,47.49,-1
Stephen Curry,1320,50,59.58,9.58
Klay Thompson,1282,48.35,55.85,7.5
LeBron James,1263,49.58,53.25,3.67
Kyrie Irving,1215,48.53,53.17,4.64
Nikola Vucevic,1199,47.61,52.46,4.85
Anthony Davis,1193,48.01,53.52,5.51
Chris Paul,1169,46.59,54.53,7.94
Tyreke Evans,1160,53.49,47.89,-5.6
John Wall,1153,49.37,47.22,-2.15
Pau Gasol,1147,47.25,50.13,2.88
Blake Griffin,1142,48.16,50.61,2.45
Andrew Wiggins,1120,47,45.36,-1.64
Rudy Gay,1113,46.36,49.1,2.74
Markieff Morris,1095,47.75,49.09,1.34
Victor Oladipo,1083,51.48,47.37,-4.11
Gordon Hayward,1081,49.68,49.86,0.18
Marc Gasol,1069,46.94,49.53,2.59
Dirk Nowitzki,1062,45.55,50.75,5.21
Dwyane Wade,1053,46,48.48,2.48
DeMarcus Cousins,1052,50.35,46.86,-3.48
Kyle Lowry,1043,48.57,47.56,-1.02
Eric Bledsoe,1040,52.59,48.94,-3.65
Joe Johnson,1021,46.43,49.51,3.08
Avery Bradley,1010,48.64,49.01,0.37
Al Jefferson,1007,44.83,48.06,3.23
Trey Burke,1003,47.62,42.97,-4.65
Reggie Jackson,993,48.39,46.88,-1.51
Goran Dragic,992,52.84,55.14,2.3
DeMar DeRozan,990,45.16,42.58,-2.59
Brook Lopez,985,46.8,51.32,4.52
Josh Smith,981,49.48,45.41,-4.07
Kemba Walker,978,47.85,43,-4.86
Kentavious Caldwell-Pope,973,49.95,47.94,-2
Wilson Chandler,972,49.53,50.05,0.52
Jeff Green,963,48.03,47.98,-0.06
Al Horford,958,48.76,54.44,5.68
Andre Drummond,955,53.62,51.41,-2.21
Thaddeus Young,955,49.67,48.85,-0.82
Tobias Harris,946,49.01,51.22,2.2
