Player,Team,MPG,Contest %,Rim FG% Allowed,Points Saved/GM,Points Saved/36
Josh Smith,TOTAL,27.7,0.379888268,0.467,0.171535281,0.222933939
Marcin Gortat,WAS,29.9,0.472727273,0.486,0.214891682,0.25873246
Rudy Gobert,UTA,26.3,0.572413793,0.404,2.427443657,3.322736565
Markieff Morris,PHX,31.5,0.242718447,0.524,-1.673740865,-1.912846703
DeAndre Jordan,LAC,34.4,0.446153846,0.485,0.169251609,0.177123777
Andre Drummond,DET,30.5,0.491712707,0.48,0.78160598,0.922551321
Nikola Mirotic,CHI,20,0.289256198,0.552,-1.35875515,-2.445759269
Brandon Bass,BOS,23.5,0.19047619,0.549,-1.803847852,-2.76334139
Tyler Zeller,BOS,21.1,0.553846154,0.518,0.632413686,1.078999654
Mason Plumlee,BKN,21.3,0.467153285,0.555,-0.169827351,-0.287032142
Timofey Mozgov,TOTAL,25.3,0.513888889,0.475,0.845766511,1.20346223
Patrick Patterson,TOR,26.6,0.298780488,0.503,-0.904026488,-1.223494496
Boris Diaw,SAS,24.5,0.295302013,0.569,-1.587092021,-2.332053582
Jason Thompson,SAC,24.5,0.362962963,0.516,-0.929518297,-1.365822804
Jason Smith,NYK,21.9,0.30075188,0.497,-0.854488648,-1.404638874
Kosta Koufos,MEM,16.6,0.477272727,0.469,0.151197434,0.32789805
Marc Gasol,MEM,33.2,0.416666667,0.494,-0.539541688,-0.585045204
Luis Scola,IND,20.4,0.234782609,0.48,-1.298957228,-2.292277461
Tristan Thompson,CLE,26.8,0.411392405,0.522,-0.562095011,-0.755053
Jonas Valanciunas,TOR,26.2,0.496932515,0.465,1.096210628,1.506243611
Kevin Seraphin,WAS,15.6,0.523809524,0.476,0.407196748,0.939684804
Trevor Booker,UTA,19.8,0.198198198,0.489,-1.599317133,-2.907849333
Ed Davis,LAL,23.3,0.346405229,0.539,-0.819992659,-1.266941447
Draymond Green,GSW,31.6,0.333333333,0.469,-0.80888368,-0.921513053
Pau Gasol,CHI,34.3,0.483568075,0.48,1.139833883,1.196327108
Marvin Williams,CHA,26.1,0.244755245,0.52,-1.937630777,-2.672594176
Tim Duncan,SAS,29,0.49726776,0.469,1.20948942,1.501435142
Dirk Nowitzki,DAL,29.6,0.345679012,0.524,-1.616234346,-1.96569042
Anthony Tolliver,TOTAL,18.9,0.237288136,0.537,-1.225593275,-2.334463381
Omer Asik,NOP,26.1,0.5,0.511,0.527850864,0.728070158
Roy Hibbert,IND,25.3,0.539007092,0.426,1.837902212,2.615196823
Al Horford,ATL,30.4,0.404371585,0.498,-0.269679758,-0.319357609
Brandan Wright,TOTAL,19.4,0.419354839,0.495,0.063505064,0.117844449
Jonas Jerebko,TOTAL,16.4,0.313953488,0.51,-1.026107126,-2.252430276
Thaddeus Young,TOTAL,32.1,0.213592233,0.601,-2.625954286,-2.944995461
Amir Johnson,TOR,26.4,0.38150289,0.523,-0.319314052,-0.435428252
Channing Frye,ORL,24.9,0.408759124,0.519,-0.713925232,-1.032181059
Marreese Speights,GSW,15.9,0.480769231,0.493,0.391575733,0.886586565
